Methy Violet,0.0,1.6,0.8,Yellow,Blue
Cresol red - step 1,0.2,1.8,1,red,yellow
Malachite green -step 1,0.2,1.8,1.3,yellow,green
Thymol blue - step 1,1.2,2.8,1.65,red,yellow
Methyl yellow,2.9,4.0,3.3,red,yellow
Methyl orange,3.1,4.4,3.5,red,yellow
Bromophenol blue,3.0,4.6,3.85,yellow,blue
Congo red,3.0,5.0,,blue-violet,red
Methyl orange in xylene cyanol (screened),3.2,4.2,,grey-violet,green
Bromocresol green,3.8,5.4,4.7,yellow,blue
Methyl red,4.4,6.2,5.1,red,yellow
Methyl purple,4.8,5.4,,purple,green
Chlorophenol Red,4.8,6.4,6,Yellow,Red
Azolitmin (litmus),4.5,8.3,,red,blue
Bromocresol purple,5.2,6.8,6.4,yellow,purple
p-Nitrophenol,5.3,7.6,7.2,colorless,yellow
Bromothymol blue,6.0,7.6,7.3,yellow,blue
Phenol red,6.4,8.0,7.9,yellow,red
Neutral red,6.8,8.0,,red,yellow
Cresol red -step 2,7.2,8.8,8.5,yellow,reddish-purple
Naphtholphthalein,7.3,8.7,,pale red,greenish-blue
Cresol Purple,7.4,9.0,8.3,Yellow,Purple
Thymol blue - step 2,8.0,9.6,8.9,yellow,blue
Cresolphthalein,8.2,9.8,,colorless,purple
Phenolphthalein,8.3,10.0,9.4,colorless,red-pink
Thymolphthalein,9.0,10.5,9.2,colorless,blue
Alizarin yellow R,10.1,12.0,11.2,yellow,red
Indigo carmine,11.4,13.0,12.2,blue,yellow
Malachite green -step 2,11.5,13.2,,green,colorless
